#
# Unicode mapping for JIS C 6226:1978 (retronymously JIS X 0208:1978) with NEC PC98 extensions.
# Amended 2019-02 with additional deviations from modern mappings to fully use the closest matches
#   in the 1990-JIS (including JIS X 0212) repertoire (although U+663B/U+6602 were still their
#   Microsoft way around, as an oversight on my part).
# Further amended 2021-08-05 to swap U+663B/U+6602 and use some closer 2004-JIS and other characters:
#   20-34: now U+3D4E, was U+6F97
#   25-23: now U+663B, was U+6602 (compare 90-22)
#   26-84: now U+6805 (GB 2312), was U+67F5
#   32-70: now U+87EC (2000-JIS level 3), was U+8749
#   34-45: now U+9A52 (2000-JIS level 3), was U+9A28
#   35-29: now U+7C1E (2000-JIS level 3), was U+7BAA
#   39-77: now U+525D (2004-JIS level 3), was U+5265
#   53-67: now U+21A1A, was U+5BC3
#   54-02: now U+5C5B (2004-JIS level 3), was U+5C4F
#   90-22: now U+6602, was U+663B (compare 25-23)
# Further amended 2021-08-12 referencing NEC-specific CIDs, double-checked against bitmap font:
#   17-28: kept as U+958F; changing to U+28CDD per CID map is not justified by bitmap font
#   23-46: now U+25874, was U+7A3D
#   23-53: now U+8346, was U+834A
#   23-68: now U+28EF6, was U+9699
#   59-42: now U+67FA, was U+67B4
#   59-84: now U+688E, was U+688D
#   63-83: kept as U+71D7; changing to U+243D0 per CID map is not justified by bitmap font
#   73-28: kept as U+85DC; changing to U+853E per CID map is not justified by bitmap font
#   80-19: kept as U+96CE; changing to U+7762 per CID map is not justified by bitmap font
#
# NEC's double byte character set makes substantial use of halfwidth-fullwidth distinctions which
# cannot be represented in Unicode. Following a convention established by Apple, W (naturally wide)
# or A (ambiguous width) codepoints followed by the private use codepoint f87f indicate halfwidth.
#
0x2453	U+3073	# 4-51, HIRAGANA LETTER BI
0x2454	U+3074	# 4-52, HIRAGANA LETTER PI
0x2455	U+3075	# 4-53, HIRAGANA LETTER HU
0x2456	U+3076	# 4-54, HIRAGANA LETTER BU
0x2457	U+3077	# 4-55, HIRAGANA LETTER PU
0x2458	U+3078	# 4-56, HIRAGANA LETTER HE
0x2459	U+3079	# 4-57, HIRAGANA LETTER BE
0x245a	U+307a	# 4-58, HIRAGANA LETTER PE
0x245b	U+307b	# 4-59, HIRAGANA LETTER HO
0x245c	U+307c	# 4-60, HIRAGANA LETTER BO
0x245d	U+307d	# 4-61, HIRAGANA LETTER PO
0x245e	U+307e	# 4-62, HIRAGANA LETTER MA
0x245f	U+307f	# 4-63, HIRAGANA LETTER MI
0x2460	U+3080	# 4-64, HIRAGANA LETTER MU
0x2461	U+3081	# 4-65, HIRAGANA LETTER ME
0x2462	U+3082	# 4-66, HIRAGANA LETTER MO
0x2463	U+3083	# 4-67, HIRAGANA LETTER SMALL YA
0x2464	U+3084	# 4-68, HIRAGANA LETTER YA
0x2465	U+3085	# 4-69, HIRAGANA LETTER SMALL YU
0x2466	U+3086	# 4-70, HIRAGANA LETTER YU
0x2467	U+3087	# 4-71, HIRAGANA LETTER SMALL YO
0x2468	U+3088	# 4-72, HIRAGANA LETTER YO
0x2469	U+3089	# 4-73, HIRAGANA LETTER RA
0x246a	U+308a	# 4-74, HIRAGANA LETTER RI
0x246b	U+308b	# 4-75, HIRAGANA LETTER RU
0x246c	U+308c	# 4-76, HIRAGANA LETTER RE
0x246d	U+308d	# 4-77, HIRAGANA LETTER RO
0x246e	U+308e	# 4-78, HIRAGANA LETTER SMALL WA
0x246f	U+308f	# 4-79, HIRAGANA LETTER WA
0x2470	U+3090	# 4-80, HIRAGANA LETTER WI
0x2471	U+3091	# 4-81, HIRAGANA LETTER WE
0x2472	U+3092	# 4-82, HIRAGANA LETTER WO
0x2473	U+3093	# 4-83, HIRAGANA LETTER N
0x2521	U+30a1	# 5-1, KATAKANA LETTER SMALL A
0x2522	U+30a2	# 5-2, KATAKANA LETTER A
0x2523	U+30a3	# 5-3, KATAKANA LETTER SMALL I
0x2524	U+30a4	# 5-4, KATAKANA LETTER I
0x2525	U+30a5	# 5-5, KATAKANA LETTER SMALL U
0x2526	U+30a6	# 5-6, KATAKANA LETTER U
0x2527	U+30a7	# 5-7, KATAKANA LETTER SMALL E
0x2528	U+30a8	# 5-8, KATAKANA LETTER E
0x2529	U+30a9	# 5-9, KATAKANA LETTER SMALL O
0x252a	U+30aa	# 5-10, KATAKANA LETTER O
0x252b	U+30ab	# 5-11, KATAKANA LETTER KA
0x252c	U+30ac	# 5-12, KATAKANA LETTER GA
0x252d	U+30ad	# 5-13, KATAKANA LETTER KI
0x252e	U+30ae	# 5-14, KATAKANA LETTER GI
0x252f	U+30af	# 5-15, KATAKANA LETTER KU
0x2530	U+30b0	# 5-16, KATAKANA LETTER GU
0x2531	U+30b1	# 5-17, KATAKANA LETTER KE
0x2532	U+30b2	# 5-18, KATAKANA LETTER GE
0x2533	U+30b3	# 5-19, KATAKANA LETTER KO
0x2534	U+30b4	# 5-20, KATAKANA LETTER GO
0x2535	U+30b5	# 5-21, KATAKANA LETTER SA
0x2536	U+30b6	# 5-22, KATAKANA LETTER ZA
0x2537	U+30b7	# 5-23, KATAKANA LETTER SI
0x2538	U+30b8	# 5-24, KATAKANA LETTER ZI
0x2539	U+30b9	# 5-25, KATAKANA LETTER SU
0x253a	U+30ba	# 5-26, KATAKANA LETTER ZU
0x253b	U+30bb	# 5-27, KATAKANA LETTER SE
0x253c	U+30bc	# 5-28, KATAKANA LETTER ZE
0x253d	U+30bd	# 5-29, KATAKANA LETTER SO
0x253e	U+30be	# 5-30, KATAKANA LETTER ZO
0x253f	U+30bf	# 5-31, KATAKANA LETTER TA
0x2540	U+30c0	# 5-32, KATAKANA LETTER DA
0x2541	U+30c1	# 5-33, KATAKANA LETTER TI
0x2542	U+30c2	# 5-34, KATAKANA LETTER DI
0x2543	U+30c3	# 5-35, KATAKANA LETTER SMALL TU
0x2544	U+30c4	# 5-36, KATAKANA LETTER TU
0x2545	U+30c5	# 5-37, KATAKANA LETTER DU
0x2546	U+30c6	# 5-38, KATAKANA LETTER TE
0x2547	U+30c7	# 5-39, KATAKANA LETTER DE
0x2548	U+30c8	# 5-40, KATAKANA LETTER TO
0x2549	U+30c9	# 5-41, KATAKANA LETTER DO
